Month,Type,Price,Location,Postcode,Bedrooms,Bathrooms,Parking,Garden,Lease Length,Contact
February,Apartment,1910.00,Dublin City North,Dublin 1,3,1,No,No,12,Estate Agent
February,Apartment,1090,Dublin City Sth.,Dublin 22,2,2,N/A,No,6,Owner
February,Apartment,1830,Dublin City South,Dublin 4,2,1,No,No,12,Estate Agent
February,Apartment,1830,Dublin City North,Dublin 11,3,1,No,No,12,Estate Agent
February,House,3940,Dublin City North,Dublin 15,4,4,Yes,Yes,12,Estate Agent
February,Apartment,1010.00,Dublin City South,Dublin 14,2,1,No,No,12,Estate Agent
March,Apartment,1150,Dublin City Sth.,Dublin 2,1,1,Yes,No,12,Owner
March,House,4880,Dublin City North,Dublin 5,3,1,Yes,Yes,6,Estate Agent
March,Apartment,1660.00,Dublin City Nth.,Dublin 17,1,2,No,No,12,Estate Agent
March,Apartment,2930,Dublin City South,Dublin 4,3,1,No,No,120,Owner
March,Apartment,1860,Dublin City North,Dublin 1,2,2,No,No,12,Estate Agent
March,Apartment,2250,Dublin City Sth.,Dublin 2,2,1,No,No,12,Estate Agent
March,Apartment,1710,Dublin City South,Dublin 24,2,2,No,No,12,Estate Agent
March,Apartment,710,Dublin City North,Dublin 17,1,2,No,No,12,Estate Agent
March,Apartment,1040,Dublin City Sth.,Dublin 14,1,1,No,No,60,Estate Agent
March,Apartment,3100,Dublin City North,Dublin 1,2,1,No,No,12,Estate Agent
March,House,2810.00,Dublin City Sth.,Dublin 8,3,1,Yes,Yes,6,Owner
March,Apartment,2430,Dublin City South,Dublin 2,2,1,No,N/A,12,Owner
March,Apartment,1410,Dublin City South,Dublin 2,2,1,No,N/A,12,Owner
March,Apartment,1220,Dublin City North,Dublin 1,1,1,No,No,120,Owner
March,Apartment,1210,Dublin City Nth.,Dublin 1,2,1,No,No,12,Estate Agent
March,Apartment,2560,Dublin City North,Dublin 5,2,1,No,No,12,Owner
March,Apartment,1890,Dublin City South,Dublin 8,1,1,No,No,12,Estate Agent
March,Apartment,780,Dublin City South,Dublin 22,1,2,No,No,12,Estate Agent
March,House,2180,Dublin City Nth.,Dublin 15,3,2,Yes,Yes,12,Estate Agent
March,Apartment,1080,Dublin City South,Dublin 6W,1,1,No,No,12,Estate Agent
March,Apartment,2090,Dublin City South,Dublin 8,3,2,No,No,12,Estate Agent
March,Apartment,2550,Dublin City North,Dublin 5,2,2,No,N/A,6,Estate Agent
March,Apartment,2920,Dublin City Nth.,Dublin 3,2,1,No,No,12,Owner
March,Apartment,2270.00,Dublin City South,Dublin 6W,2,2,No,No,12,Estate Agent
March,Apartment,1840,Dublin City North,Dublin 3,1,2,Yes,No,12,Estate Agent
March,Apartment,1930,Dublin City Nth.,Dublin 3,1,1,No,No,120,Estate Agent
March,Apartment,2080,Dublin City Sth.,Dublin 2,2,2,Yes,No,12,Estate Agent
March,Apartment,1930,Dublin City North,Dublin 1,3,1,No,N/A,12,Owner
March,Apartment,1040,Dublin City North,Dublin 1,1,1,No,No,6,Estate Agent
March,House,4710,Dublin City Nth.,Dublin 9,4,2,Yes,N/A,120,Estate Agent
March,Apartment,1220,Dublin City North,Dublin 9,1,1,Yes,N/A,12,Estate Agent
March,House,4510.00,Dublin City Nth.,Dublin 1,4,1,Yes,Yes,6,Estate Agent
March,Apartment,1420.00,Dublin City North,Dublin 1,1,1,No,No,12,Estate Agent
March,Apartment,1710,Dublin City Nth.,Dublin 9,3,1,No,No,12,Estate Agent
March,Apartment,3000,Dublin City North,Dublin 1,2,2,No,No,12,Estate Agent
March,Apartment,1340,Dublin City North,Dublin 1,1,2,No,No,12,Estate Agent
March,Apartment,2270,Dublin City North,Dublin 17,3,1,Yes,No,12,Owner
March,Apartment,1910.00,Dublin City North,Dublin 1,1,1,No,No,12,Estate Agent
March,Apartment,980,Dublin City North,Dublin 1,1,1,Yes,No,120,Estate  Agent
March,Apartment,1260,Dublin City North,Dublin 15,1,2,No,No,12,Owner
March,Apartment,1580,Dublin City South,Dublin 2,1,1,No,No,12,Estate Agent
March,Apartment,1040,Dublin City Nth.,Dublin 1,2,1,Yes,No,12,Estate Agent
March,Apartment,1710,Dublin City Sth.,Dublin 14,2,1,No,No,12,Estate Agent
March,Apartment,1780.00,Dublin City South,Dublin 18,1,1,No,No,6,Estate  Agent
March,Apartment,1300.00,Dublin City South,Dublin 12,1,2,No,N/A,12,Owner
March,Apartment,3350,Dublin City South,Dublin 2,2,1,No,No, ,Estate Agent
March,Apartment,1170,Dublin City North,Dublin 15,1,1,No,No,6,Estate Agent
March,House,5400,Dublin City Nth.,Dublin 7,4,1,Yes,Yes,3,Owner
March,Apartment,1530,Dublin City North,Dublin 17,1,2,No,No,12,Estate Agent
March,Apartment,1030,Dublin City North,Dublin 15,1,1,No,No,120,Estate Agent
March,Apartment,2590,Dublin City South,Dublin 8,2,1,No,No,120,Estate Agent
March,Apartment,1770,Dublin City South,Dublin 20,1,1,Yes,No,6,Owner
March,House,3160,North Co Dublin,,4,1,No,Yes,6,Owner
March,Apartment,2370,Dublin City Sth.,Dublin 2,2,1,Yes,No,12,Estate Agent
March,Apartment,990,Dublin City North,Dublin 3,1,1,No,No,6,Estate Agent
March,House,3980,Dublin City North,Dublin 7,2,2,Yes,Yes,3,Estate Agent
March,House,2620,Dublin City South,Dublin 22,4,4,Yes,Yes,120,Estate Agent
March,Apartment,1510.00,Dublin City South,Dublin 8,2,2,Yes,No,120,Owner
March,House,5850.00,Dublin City South,Dublin 2,3,1,Yes,Yes,12,Estate Agent
March,House,4790.00,Dublin City South,Dublin 2,3,1,No,Yes,12,Owner
March,Apartment,3020,Dublin City South,Dublin 12,2,2,No,N/A,3,Estate Agent
March,Apartment,1560,Dublin City South,Dublin 6W,1,2,Yes,N/A,12,Estate Agent
March,Apartment,1520,Dublin City South,Dublin 14,2,2,No,No,3,Owner
March,House,2430,Dublin City South,Dublin 14,3,2,Yes,Yes,60,Estate Agent
March,Apartment,2620,Dublin City North,Dublin 1,2,1,Yes,No,12,Owner
March,House,2930,Dublin City North,Dublin 7,4,2,Yes,Yes, ,Estate  Agent
March,Apartment,1160,Dublin City South,Dublin 6W,2,2,N/A,No,12,Estate Agent
March,Apartment,1830,Dublin City South,Dublin 4,1,2,No,No,12,Estate Agent
March,House,4920.00,Dublin City South,Dublin 24,4,4,No,Yes,120,Estate Agent
March,Apartment,1780,Nth. Co D,,1,1,No,No,6,Estate Agent
March,Apartment,2100,Dublin City South,Dublin 2,1,2,No,No,12,Estate Agent
March,House,4580,North Co Dublin,,3,1,Yes,Yes,6,Owner
March,Apartment,1440,Dublin City North,Dublin 1,1,1,No,No,60,Estate Agent
March,Apartment,1970,Dublin City South,Dublin 6W,1,2,No,No,12,Estate Agent
March,Apartment,1630,Dublin City North,Dublin 3,1,2,No,No,12,Owner
March,Apartment,920,Dublin City Sth.,Dublin 16,1,1,No,No,12,Estate Agent
March,Apartment,1820,Dublin City Nth.,Dublin 1,1,1,Yes,No,12,Owner
March,Apartment,2220,Dublin City Sth.,Dublin 2,1,1,No,No,12,Estate Agent
March,Apartment,2630,Dublin City North,Dublin 1,2,1,Yes,No,6,Owner
March,House,2570,Dublin City South,Dublin 2,2,1,Yes,No,12,Estate Agent
March,House,4990,Dublin City South,Dublin 6,2,1,Yes,Yes,120,Estate Agent
March,Apartment,2350,Dublin City North,Dublin 1,2,2,N/A,No,6,Estate Agent
March,House,3340,Dublin City North,Dublin 13,3,2,Yes,Yes,12,Estate Agent
March,Apartment,2200,Dublin City South,Dublin 2,1,2,No,No,12,Estate Agent
March,Apartment,3540,Dublin City Sth.,Dublin 2,2,1,No,No,3,Owner
March,Apartment,2350,Dublin City South,Dublin 24,2,2,No,No,12,Estate Agent
March,Apartment,1090,Dublin City North,Dublin 1,1,2,No,No,120,Estate Agent
March,Apartment,1610,Dublin City South,Dublin 10,2,1,No,No,12,Estate Agent
March,House,5640,Dublin City South,Dublin 2,4,1,Yes,Yes,3,Estate Agent
March,Apartment,1620,Dublin City South,Dublin 12,1,2,No,No,12,Estate Agent
March,Apartment,1690,Dublin City North,Dublin 3,2,2,No,No,12,Owner
March,House,4550.00,Dublin City North,Dublin 15,4,3,Yes,Yes,3,Estate Agent
March,Apartment,1870,Dublin City North,Dublin 17,2,1,Yes,No,12,Owner
March,Apartment,2000,Dublin City South,Dublin 14,1,2,Yes,No,12,Estate Agent
March,Apartment,890,Dublin City North,Dublin 1,1,1,No,No,12,Estate Agent
March,Apartment,980,Dublin City North,Dublin 1,1,1,No,No,12,Estate Agent
March,Apartment,2100,Dublin City South,Dublin 2,1,1,No,No,12,Estate Agent
March,Apartment,1750,Dublin City South,Dublin 2,1,1,No,No,12,Estate Agent
March,Apartment,1160,Dublin City South,Dublin 2,2,2,No,No,6,Owner
March,House,2870,South Co Dublin,,3,1,N/A,Yes,12,Owner
March,Apartment,2360,Dublin City South,Dublin 6,2,2,Yes,No,120,Estate Agent
March,Apartment,1300,Dublin City North,Dublin 11,1,1,No,No,12,Estate Agent
March,Apartment,2100,Dublin City North,Dublin 1,2,2,No,No,12,Owner
March,House,3160,Dublin City South,Dublin 22,3,2,Yes,Yes,12,Owner
March,Apartment,2200.00,Dublin City North,Dublin 1,2,2,No,No,12,Estate Agent
March,House,3410,South Co Dublin,,3,2,Yes,Yes,12,Estate Agent
March,Apartment,1900,South Co Dublin,,1,1,No,No,12,Estate Agent
March,Apartment,2450,Dublin City South,Dublin 2,2,1,N/A,No,12,Estate Agent
March,Apartment,1960,Dublin City South,Dublin 14,3,1,Yes,No,12,Owner
March,Apartment,1850,Dublin City South,Dublin 2,1,1,No,No,12,Owner
March,Apartment,1870,Dublin City Sth.,Dublin 2,1,1,Yes,N/A,12,Estate Agent
March,Apartment,2620,Dublin City South,Dublin 2,2,1,N/A,N/A,12,Owner
March,House,3780,Dublin City South,Dublin 18,3,1,Yes,Yes,3,Estate Agent
March,House,3140,Dublin City North,Dublin 9,3,2,Yes,Yes,12,Owner
March,Apartment,1660,Dublin City South,Dublin 24,3,2,No,No,12,Estate  Agent
March,Apartment,990,Dublin City North,Dublin 13,2,1,Yes,No,12,Estate Agent
March,Apartment,2110,Dublin City Nth.,Dublin 7,2,1,No,No,60,Estate Agent
March,Apartment,1200,Dublin City South,Dublin 22,1,1,No,No,12,Estate Agent
March,Apartment,2060,Dublin City South,Dublin 2,2,1,No,No,12,Estate Agent
March,House,4060,Dublin City Sth.,Dublin 24,3,1,Yes,Yes,12,Estate Agent
March,Apartment,1410,Dublin City South,Dublin 6W,1,1,No,No,12,Estate Agent
March,Apartment,1000,Dublin City North,Dublin 7,1,1,N/A,No,12,Estate Agent
March,House,4260,North Co Dublin,,4,4,Yes,Yes,12,Estate Agent
March,Apartment,1350,Dublin City Sth.,Dublin 16,3,2,No,No,12,Estate Agent
March,Apartment,1560,Dublin City North,Dublin 1,2,1,No,No,12,Estate Agent
March,House,2280.00,Dublin City Sth.,Dublin 24,3,2,Yes,Yes,120,Estate Agent
March,House,5160,Dublin City North,Dublin 11,5,1,Yes,N/A,120,Estate Agent
March,Apartment,1410,Dublin City Sth.,Dublin 2,1,2,No,No,120,Estate Agent
March,Apartment,1610,Dublin City South,Dublin 2,2,2,No,No,12,Estate Agent
March,Apartment,2160,South Co Dublin,,2,1,Yes,No,12,Estate Agent
March,House,2930,Dublin City North,Dublin 1,3,1,No,N/A,12,Owner
March,Apartment,1500,Dublin City Sth.,Dublin 24,1,2,No,No,12,Estate Agent
March,Apartment,1900,Dublin City South,Dublin 2,2,2,Yes,No,12,Estate Agent
March,Apartment,1600,Dublin City South,Dublin 2,2,2,No,No,12,Estate Agent
March,Apartment,1230,Dublin City North,Dublin 17,1,1,No,No,30,Estate Agent
March,Apartment,1140,Dublin City North,Dublin 7,2,2,No,No,12,Estate Agent
March,Apartment,1100,Dublin City North,Dublin 1,1,1,No,No,60,Estate  Agent
March,Apartment,2020,Dublin City Nth.,Dublin 5,1,2,No,No,12,Estate Agent
March,Apartment,2070,Dublin City South,Dublin 16,2,2,No,No,12,Estate Agent
March,House,2160,Dublin City Sth.,Dublin 16,2,2,Yes,Yes,12,Estate Agent
March,House,6830,Dublin City South,Dublin 2,3,2,Yes,Yes,3,Estate Agent
March,House,3960,Dublin City South,Dublin 8,3,2,No,Yes,3,Estate  Agent
March,House,5060,Dublin City South,Dublin 8,4,1,No,Yes,12,Owner
March,Apartment,2000,Dublin City Nth.,Dublin 1,1,2,No,N/A,12,Estate Agent
March,Apartment,1580,Dublin City Nth.,Dublin 1,1,2,No,No,6,Estate Agent
March,Apartment,1400,South Co Dublin,,1,1,No,No,12,Estate Agent
March,Apartment,1310,Dublin City Nth.,Dublin 17,1,1,No,No,12,Owner
March,Apartment,1060,Dublin City North,Dublin 1,2,2,No,No,12,Estate Agent
March,Apartment,2070,Dublin City North,Dublin 1,2,1,Yes,No,12,Owner
March,Apartment,2140,Dublin City South,Dublin 2,1,2,N/A,No,12,Estate Agent
March,Apartment,2390,Dublin City South,Dublin 2,1,1,No,No,12,Estate Agent
March,Apartment,2740,Dublin City Sth.,Dublin 6W,2,2,No,No,6,Owner
March,House,4310,Dublin City South,Dublin 10,3,2,No,Yes,6,Estate Agent
March,Apartment,1250,Dublin City North,Dublin 1,2,1,No,N/A,6,Owner
March,Apartment,1350,Dublin City North,Dublin 1,2,1,No,No,6,Estate Agent
March,Apartment,2130,Dublin City North,Dublin 3,3,2,Yes,No,120,Estate Agent
March,Apartment,1810,Dublin City South,Dublin 14,2,1,No,N/A,12,Estate Agent
March,Apartment,1560.00,Dublin City South,Dublin 10,1,1,Yes,No,120,Owner
March,Apartment,1540,Dublin City Sth.,Dublin 4,1,1,No,No,12,Owner
March,House,3960,Dublin City North,Dublin 17,4,1,No,Yes,12,Estate Agent
March,Apartment,3310,Dublin City South,Dublin 2,3,2,No,No,12,Owner
March,Apartment,1690,Dublin City South,Dublin 24,2,2,Yes,N/A,120,Owner
March,Apartment,3140,Dublin City South,Dublin 2,2,1,Yes,No,12,Estate Agent
March,Apartment,3590,Dublin City North,Dublin 15,3,1,Yes,No,12,Estate Agent
April,Apartment,1860,Dublin City Nth.,Dublin 13,2,2,No,No,6,Estate Agent
April,Apartment,1920,Dublin City South,Dublin 2,1,2,Yes,No,12,Estate Agent
April,Apartment,2130.00,Dublin City South,Dublin 2,2,1,No,No,12,Owner
April,Apartment,2380,Dublin City Nth.,Dublin 15,2,1,Yes,No,120,Owner
April,Apartment,1460.00,Dublin City South,Dublin 14,1,1,No,No,12,Estate Agent
April,Apartment,2330,Dublin City North,Dublin 5,2,2,No,No,12,Owner
April,House,5100,Dublin City Nth.,Dublin 1,3,2,Yes,Yes,120,Estate Agent
April,Apartment,1850,Dublin City South,Dublin 8,1,1,No,No,12,Owner
April,Apartment,4940,Dublin City Nth.,Dublin 1,3,1,Yes,No,12,Estate Agent
April,Apartment,3230,Dublin City South,Dublin 2,3,1,Yes,No,12,Estate Agent
April,House,5300.00,Dublin City South,Dublin 4,4,1,Yes,Yes,12,Owner
April,Apartment,1790,Dublin City North,Dublin 3,1,2,No,No,12,Estate Agent
April,House,5430,Dublin City Nth.,Dublin 13,1,2,No,Yes,3,Owner
April,House,4780,Dublin City Sth.,Dublin 10,3,1,Yes,N/A,120,Estate Agent
April,House,2990,Dublin City South,Dublin 24,4,2,Yes,Yes,120,Estate Agent
April,Apartment,2220,Dublin City North,Dublin 1,1,1,No,No,12,Estate Agent
April,House,3040.00,North Co Dublin,,4,2,Yes,Yes,12,Owner
April,Apartment,2900,Dublin City Sth.,Dublin 2,2,1,N/A,No,12,Estate Agent
April,House,4100,Dublin City North,Dublin 15,3,2,Yes,N/A,30,Owner
April,Apartment,1530,Dublin City North,Dublin 11,1,1,No,No,12,Estate Agent
April,Apartment,1570,Dublin City North,Dublin 1,1,2,No,No,6,Estate Agent
April,Apartment,2070,Dublin City North,Dublin 1,1,1,No,No,6,Estate Agent
April,Apartment,1420,Dublin City North,Dublin 1,1,1,No,No,12,Estate Agent
April,Apartment,1760.00,Dublin City Sth.,Dublin 8,1,1,No,No,12,Estate Agent
April,Apartment,1600.00,Dublin City South,Dublin 6,1,2,No,No,120,Estate Agent
April,Apartment,1400.00,South Co Dublin,,1,1,Yes,No,12,Estate Agent
April,Apartment,2110.00,Dublin City North,Dublin 1,1,2,No,No,12,Estate Agent
April,Apartment,1220,Dublin City North,Dublin 7,1,1,No,N/A,12,Estate Agent
April,Apartment,1260,Dublin City North,Dublin 1,2,1,No,No,12,Estate  Agent
April,Apartment,1810,Dublin City South,Dublin 14,2,1,No,No,3,Estate Agent
April,Apartment,2110,Dublin City South,Dublin 2,2,2,No,No,12,Estate Agent
April,House,4670,Dublin City Nth.,Dublin 1,3,2,Yes,Yes,12,Owner
April,Apartment,1820,Dublin City Nth.,Dublin 1,3,1,No,No,12,Estate Agent
April,Apartment,2650,Dublin City Nth.,Dublin 1,2,2,No,No,12,Estate Agent
April,House,4900.00,Dublin City North,Dublin 1,3,2,No,Yes,12,Estate Agent
April,House,3790,Dublin City North,Dublin 11,4,3,Yes,Yes,12,Estate Agent
April,House,6780,Dublin City South,Dublin 2,4,4,Yes,Yes,12,Owner
April,Apartment,1600,Dublin City South,Dublin 16,1,1,No,No,12,Estate Agent
April,Apartment,3790,Dublin City South,Dublin 20,3,2,No,No,12,Owner
April,Apartment,1790.00,Dublin City Sth.,Dublin 2,1,1,No,No,12,Owner
April,Apartment,1900.00,Dublin City North,Dublin 1,2,1,No,No,60,Estate Agent
April,House,6440.00,Dublin City South,Dublin 2,3,2,Yes,Yes,120,Estate Agent
April,Apartment,2170,Dublin City North,Dublin 5,2,1,No,No,12,Owner
April,House,2740,Dublin City South,Dublin 16,4,3,Yes,Yes,60,Owner
April,Apartment,990,Dublin City Sth.,Dublin 2,1,2,Yes,No, ,Estate  Agent
April,Apartment,1680,Dublin City Sth.,Dublin 2,2,1,No,N/A,12,Estate Agent
April,Apartment,4440,Dublin City South,Dublin 2,3,1,Yes,N/A,12,Estate Agent
April,House,2360,Dublin City North,Dublin 5,5,1,N/A,Yes,12,Estate Agent
April,Apartment,2130,Dublin City North,Dublin 1,1,2,No,No,6,Estate Agent
April,House,5840,Dublin City Sth.,Dublin 6,3,2,Yes,Yes,3,Estate Agent
April,Apartment,2420.00,Dublin City South,Dublin 2,1,1,No,No,30,Estate Agent
April,Apartment,2220,Dublin City South,Dublin 24,2,2,No,No,12,Owner
April,Apartment,2620,Dublin City North,Dublin 1,2,2,No,No,3,Estate Agent
April,Apartment,1650,Dublin City South,Dublin 6,1,1,No,No,12,Estate Agent
April,Apartment,2270,Dublin City Sth.,Dublin 2,1,2,No,N/A, ,Estate Agent
April,Apartment,3070,Dublin City Nth.,Dublin 1,2,1,N/A,No,12,Estate Agent
April,Apartment,1800,Dublin City South,Dublin 18,2,1,No,No,6,Estate Agent
April,House,2650,Dublin City South,Dublin 20,3,2,No,Yes,3,Owner
April,Apartment,2210,Dublin City Sth.,Dublin 18,2,1,No,No,12,Estate Agent
April,Apartment,1130,Dublin City Sth.,Dublin 10,1,2,No,No,12,Estate Agent
April,Apartment,3060,Dublin City North,Dublin 1,3,2,No,No,6,Estate Agent
April,Apartment,1160,Dublin City South,Dublin 2,1,1,No,No, ,Estate Agent
April,Apartment,2610,Dublin City South,Dublin 6,2,1,No,No,12,Owner
April,Apartment,1880,Dublin City South,Dublin 4,1,1,No,No,12,Estate Agent
April,House,4140,Dublin City North,Dublin 17,4,2,No,Yes,12,Estate Agent
April,Apartment,1460,Dublin City North,Dublin 1,2,2,No,No,6,Owner
April,Apartment,1280,Dublin City South,Dublin 4,1,2,No,N/A,12,Estate Agent
April,Apartment,1590,Dublin City North,Dublin 9,2,1,No,No,120,Estate Agent
April,Apartment,2350,Dublin City South,Dublin 2,2,1,Yes,No,12,Owner
April,Apartment,1320,Dublin City North,Dublin 1,2,2,No,No,120,Estate Agent
April,Apartment,2030,Dublin City South,Dublin 2,1,2,No,No,12,Owner
April,Apartment,1180,Dublin City South,Dublin 4,1,1,No,No,12,Estate Agent
April,House,4060,Dublin City North,Dublin 17,5,4,No,Yes,12,Estate Agent
April,House,3570,Dublin City Nth.,Dublin 1,1,1,No,No,6,Estate Agent
April,Apartment,2620,Dublin City North,Dublin 1,2,2,No,No,12,Estate Agent
April,Apartment,1930,Dublin City Nth.,Dublin 5,1,1,No,No,12,Estate Agent
April,Apartment,1680.00,Dublin City North,Dublin 11,1,1,No,No,12,Estate Agent
April,Apartment,1370,Dublin City South,Dublin 12,1,1,No,No,12,Estate Agent
April,Apartment,1700,Dublin City South,Dublin 20,2,1,N/A,No,3,Owner
April,Apartment,3130,Dublin City North,Dublin 1,3,2,Yes,N/A,12,Estate Agent
April,Apartment,1620,Dublin City North,Dublin 1,2,1,No,No,12,Estate Agent
April,Apartment,1130,Dublin City Nth.,Dublin 1,1,1,No,No,12,Estate Agent
April,Apartment,1550.00,Dublin City North,Dublin 1,1,2,No,No,6,Estate Agent
April,Apartment,1500,Dublin City South,Dublin 10,2,2,No,No,3,Estate Agent
April,Apartment,1860,Dublin City South,Dublin 16,2,2,Yes,No,12,Estate Agent
April,House,3170,South Co Dublin,,3,2,Yes,Yes,6,Estate Agent
April,Apartment,2990.00,Dublin City Sth.,Dublin 2,2,1,No,No,12,Estate Agent
April,House,5930,Dublin City Sth.,Dublin 6W,5,2,Yes,Yes,30,Estate Agent
April,House,4400,Dublin City North,Dublin 17,3,2,Yes,Yes,12,Owner
April,Apartment,2750.00,Dublin City Sth.,Dublin 2,1,2,Yes,No,3,Estate Agent
April,House,4100,Dublin City North,Dublin 13,4,2,N/A,Yes,6,Estate Agent
April,Apartment,1510,Dublin City North,Dublin 1,2,1,No,No,12,Owner
April,Apartment,2210,Dublin City South,Dublin 10,2,2,No,N/A,12,Estate Agent
April,Apartment,5270,Dublin City Nth.,Dublin 1,3,1,Yes,No,3,Estate  Agent
April,Apartment,1680,Dublin City South,Dublin 22,2,1,No,No,12,Estate Agent
April,House,2780,Dublin City North,Dublin 5,3,2,No,Yes,6,Owner
April,Apartment,1590,Dublin City Sth.,Dublin 2,2,1,No,No,12,Estate Agent
April,Apartment,1490,Dublin City Sth.,Dublin 16,1,1,Yes,No,12,Estate Agent
April,Apartment,1400.00,Dublin City North,Dublin 15,1,1,No,No,12,Estate Agent
April,Apartment,2540,Dublin City North,Dublin 1,1,2,No,No,3,Estate Agent
April,Apartment,3040,Dublin City South,Dublin 2,2,2,Yes,No,12,Estate Agent
April,Apartment,1220,Dublin City North,Dublin 13,2,2,Yes,No,6,Estate Agent
April,Apartment,1060,Dublin City South,Dublin 2,1,1,No,N/A,12,Owner
April,House,3690.00,Dublin City South,Dublin 10,4,1,No,Yes,12,Estate  Agent
April,Apartment,970.00,Dublin City North,Dublin 1,1,2,No,No,6,Estate Agent
April,Apartment,1480,Dublin City North,Dublin 1,2,1,Yes,No,12,Estate Agent
April,Apartment,1070,Dublin City Sth.,Dublin 2,1,1,Yes,No,12,Estate Agent
April,Apartment,2460,Dublin City North,Dublin 11,2,1,No,No,6,Estate Agent
April,Apartment,1040,Dublin City South,Dublin 8,2,2,No,N/A,12,Estate Agent
April,Apartment,1190,Dublin City South,Dublin 16,1,1,No,No,3,Owner
April,House,3820,Dublin City Sth.,Dublin 8,3,1,No,Yes,3,Owner
April,Apartment,1710,Dublin City North,Dublin 1,1,2,No,N/A,6,Estate Agent
April,Apartment,2360.00,North Co Dublin,,3,1,No,No,12,Estate Agent
April,House,5430,Dublin City South,Dublin 6W,5,1,Yes,Yes,12,Owner
April,Apartment,1440,Dublin City South,Dublin 2,1,2,No,No,12,Estate Agent
April,Apartment,1000,Dublin City Sth.,Dublin 2,1,1,No,No,12,Estate Agent
April,House,5480,Dublin City South,Dublin 6,3,2,Yes,Yes,12,Estate Agent
April,House,3650,Dublin City Sth.,Dublin 14,3,2,No,Yes,12,Owner
April,Apartment,900.00,Dublin City Sth.,Dublin 22,1,1,No,No,12,Estate Agent
April,Apartment,1440,Dublin City Nth.,Dublin 1,1,1,No,N/A,12,Estate Agent
April,House,4410,Dublin City South,Dublin 18,4,2,Yes,Yes,12,Estate Agent
April,House,3260,Dublin City South,Dublin 14,1,2,Yes,Yes,3,Estate Agent
April,Apartment,3400,Dublin City South,Dublin 2,2,2,No,No,12,Estate Agent
April,Apartment,2330,Dublin City North,Dublin 17,2,1,No,No,12,Estate Agent
April,Apartment,3720,Dublin City Sth.,Dublin 22,3,2,Yes,N/A,12,Estate Agent
April,House,5040,Dublin City North,Dublin 1,3,2,N/A,N/A,3,Owner
April,Apartment,950,Dublin City North,Dublin 13,1,2,N/A,No,12,Estate Agent
April,House,2980,Dublin City South,Dublin 20,4,1,Yes,Yes,6,Estate Agent
April,Apartment,1970,Dublin City South,Dublin 2,1,1,No,No,12,Estate Agent
April,Apartment,1120,Dublin City Sth.,Dublin 6,2,1,Yes,No,120,Estate Agent
April,Apartment,2150,Dublin City North,Dublin 7,2,2,No,No,12,Estate Agent
April,Apartment,920,Dublin City Nth.,Dublin 1,1,1,No,No,12,Estate Agent
April,Apartment,2120,Dublin City Sth.,Dublin 2,1,2,No,No,60,Estate Agent
April,Apartment,3950.00,Dublin City North,Dublin 1,3,1,Yes,No,12,Estate Agent
April,House,2820,Dublin City South,Dublin 8,3,2,Yes,Yes,12,Estate Agent
April,Apartment,1860.00,Dublin City Nth.,Dublin 15,2,2,No,No,12,Owner
April,Apartment,2080,Dublin City Sth.,Dublin 2,1,2,Yes,No,12,Owner
April,Apartment,3200,Dublin City South,Dublin 6W,2,1,No,No,3,Estate Agent
April,Apartment,3320,Dublin City South,Dublin 2,2,1,Yes,N/A,12,Estate Agent
April,House,3990,Dublin City South,Dublin 4,4,2,Yes,Yes,3,Owner
April,Apartment,1790,Dublin City Nth.,Dublin 7,2,1,N/A,No,12,Owner
April,Apartment,1210,Dublin City North,Dublin 7,1,2,No,No,12,Estate Agent
April,Apartment,1050,Dublin City South,Dublin 12,1,1,N/A,No,120,Estate Agent
April,Apartment,1640,Dublin City South,Dublin 8,1,2,No,No,12,Estate Agent
April,House,4760,Dublin City Sth.,Dublin 18,2,2,No,Yes,3,Owner
April,Apartment,1590,Dublin City Sth.,Dublin 2,1,1,No,No,12,Estate Agent
April,Apartment,1400.00,Dublin City Sth.,Dublin 22,1,1,No,No,12,Estate Agent
April,Apartment,2480,Dublin City South,Dublin 4,1,1,No,N/A,120,Estate Agent
April,Apartment,1390,Dublin City North,Dublin 7,1,1,No,No,120,Estate Agent
April,House,3460,Dublin City North,Dublin 15,4,4,Yes,Yes,12,Owner
April,Apartment,1440,Dublin City North,Dublin 5,2,1,Yes,No,12,Estate Agent
April,Apartment,1500,Dublin City South,Dublin 2,1,2,Yes,No,6,Estate Agent
April,Apartment,1800,Dublin City North,Dublin 1,2,1,Yes,No,12,Estate Agent
April,Apartment,2620,Dublin City Nth.,Dublin 1,2,1,No,No,12,Estate Agent
April,Apartment,1110.00,Dublin City Sth.,Dublin 6W,1,1,No,N/A,12,Estate Agent
April,Apartment,1580,Dublin City North,Dublin 1,1,1,Yes,N/A,120,Estate Agent
April,Apartment,870,Dublin City South,Dublin 18,1,2,No,No,6,Estate Agent
April,House,2870,Dublin City North,Dublin 15,4,4,Yes,Yes,12,Estate Agent
April,House,4790,Dublin City North,Dublin 9,3,1,No,Yes,12,Estate Agent
April,Apartment,2610,Dublin City Nth.,Dublin 1,1,1,No,No,3,Estate Agent
April,Apartment,1560,Dublin City Sth.,Dublin 14,1,1,No,No,6,Owner
April,Apartment,2030,Dublin City Sth.,Dublin 2,1,2,No,No,12,Estate Agent
April,Apartment,1240,Dublin City North,Dublin 9,1,1,No,No,12,Owner
